STATE,DISTRICT,MARGIN
Indiana,3,42.42
Maryland,7,42.92999999999999
Mississippi,2,43.209999999999994
Tennessee,7,43.22
Wisconsin,4,43.36999999999999
California,22,44.080000000000005
Arizona,4,44.169999999999995
Oregon,2,44.739999999999995
Texas,12,45.0
California,34,45.080000000000005
California,6,45.379999999999995
Oklahoma,2,45.43
Wyoming,0,45.57
Mississippi,4,45.58
Oklahoma,4,46.14
Illinois,1,46.18000000000001
Tennessee,8,46.239999999999995
Kentucky,1,46.24000000000001
North Carolina,1,46.75999999999999
Florida,1,46.790000000000006
Minnesota,5,46.82000000000001
Louisiana,4,46.86000000000001
South Carolina,6,46.96000000000001
Texas,18,47.019999999999996
Virginia,9,47.940000000000005
Tennessee,6,48.120000000000005
Pennsylvania,4,49.080000000000005
California,29,49.22
Alabama,5,49.25
Illinois,18,49.44
North Carolina,4,49.5
California,23,49.68000000000001
Utah,3,49.72999999999999
Illinois,15,49.84
Tennessee,2,49.92999999999999
California,2,49.97999999999999
California,20,50.36000000000001
Florida,13,50.480000000000004
North Carolina,12,50.699999999999996
Nebraska,3,50.78
Texas,20,51.31999999999999
Missouri,1,51.410000000000004
California,5,51.46000000000001
Arizona,8,51.620000000000005
Louisiana,2,51.629999999999995
Tennessee,9,51.66
New York,12,51.900000000000006
Alabama,6,52.480000000000004
Oregon,3,52.72
California,28,53.0
California,14,53.400000000000006
Texas,36,53.88999999999999
Texas,1,54.94
Illinois,4,56.300000000000004
Kentucky,5,56.5
Illinois,2,57.05
Texas,21,57.05
Oklahoma,3,57.24000000000001
New York,10,57.72
Michigan,14,58.120000000000005
New Jersey,8,58.309999999999995
Texas,19,58.81
Arkansas,3,58.81999999999999
Ohio,11,58.900000000000006
New York,7,59.06999999999999
Arizona,7,60.059999999999995
Hawaii,2,60.1
Georgia,9,61.34
Washington,7,61.94
Virginia,6,62.18000000000001
Florida,4,62.59
Michigan,13,63.17999999999999
Florida,20,63.199999999999996
Texas,3,64.02000000000001
New York,9,64.10000000000001
Texas,26,65.32
Pennsylvania,1,65.68
California,12,66.5
Louisiana,3,66.67
Louisiana,1,67.41
New York,14,67.54
New York,13,68.44
California,37,68.56
Texas,28,68.75999999999999
South Carolina,4,70.10000000000001
Illinois,7,70.19999999999999
Texas,5,70.72
Texas,13,71.52
New Jersey,10,72.75999999999999
Texas,33,73.02000000000001
California,44,73.30000000000001
New York,22,73.75
Pennsylvania,2,75.4
Tennessee,1,75.74000000000001
New York,8,75.81
Florida,24,76.02000000000001
District of Columbia,0,76.94
California,13,76.96000000000001
New York,6,76.99
Texas,8,78.63999999999999
Texas,29,79.1
New York,16,80.21
Texas,11,80.53999999999999
Texas,30,81.19
Texas,9,81.63999999999999
Virgin Islands,0,82.26
South Carolina,1,86.82
Virginia,3,88.86000000000001
North Carolina,9,89.17
New York,5,90.0
New York,15,90.79
Massachusetts,4,95.82
Massachusetts,1,95.91999999999999
Massachusetts,2,96.4
Massachusetts,5,96.58000000000001
Massachusetts,7,96.66
Alabama,7,96.74000000000001
Alabama,4,97.13999999999999
Massachusetts,8,97.34
Florida,21,99.25999999999999
Georgia,8,99.82
Georgia,4,99.86000000000001
Pennsylvania,18,100
Pennsylvania,15,100
Florida,12,100
Florida,27,100
Oklahoma,1,100
Georgia,14,100
Florida,25,100
Pennsylvania,14,100
Georgia,11,100
Texas,4,100
Georgia,3,100
Georgia,5,100
Georgia,13,100
Florida,14,100
Ohio,7,100
